Date,ReleasedProcessedConsumptionKWh,MinimumHomesPresent,MaximumHomesPresent,Minutes,ReleasedGridComplete,ReleasedGridCompleteConsumptionKWh,AmbientTemperatureC
2020-11-13,283.1682994736842,20,20,1440,True,283.1682994736842,9.665559722222223
2020-11-14,341.2365197368421,20,20,1440,True,341.2365197368421,10.937979166666667
2020-11-15,316.64043,20,20,1440,True,316.64043,9.70566736111111
2020-11-16,305.4137552631579,20,20,1440,True,305.4137552631579,11.796513888888889
2020-11-17,297.3088155263158,20,20,1440,True,297.3088155263158,13.11561111111111
2020-11-18,290.664885,20,20,1440,True,290.664885,10.0734375
2020-11-19,293.158365,20,20,1440,True,293.158365,9.34136111111111
2020-11-20,323.100495,20,20,1440,True,323.100495,11.603270833333333
2020-11-21,323.679865,20,20,1440,True,323.679865,10.714247222222221
2020-11-22,317.23419,20,20,1440,True,317.23419,7.060667361111111
2020-11-23,317.41149499999995,20,20,1440,True,317.41149499999995,11.047661805555556
2020-11-24,308.14936,20,20,1440,True,308.14936,9.135105555555555
2020-11-25,313.40004,20,20,1440,True,313.40004,7.84234375
2020-11-26,315.28173,20,20,1440,True,315.28173,6.750588194444444
2020-11-27,286.992135,20,20,1440,True,286.992135,7.649290277777777
2020-11-28,304.55695999999995,20,20,1440,True,304.55695999999995,9.712918055555557
2020-11-29,321.651755,20,20,1440,True,321.651755,9.287638888888889
2020-11-30,315.30429499999997,20,20,1440,True,315.30429499999997,9.996592361111112
2020-12-01,346.87521499999997,20,20,1440,True,346.87521499999997,10.401388888888889
2020-12-02,295.151625,20,20,1440,True,295.151625,8.675418749999999
2020-12-03,333.77261,20,20,1440,True,333.77261,5.253734027777778
2020-12-04,270.142945,20,20,1440,True,270.142945,6.31245625
2020-12-05,254.72914,20,20,1440,True,254.72914,7.937975694444444
2020-12-06,212.77226499999998,20,20,1440,True,212.77226499999998,5.950017361111111
2020-12-07,207.53476,20,20,1440,True,207.53476,3.845036111111111
2020-12-08,243.30062,20,20,1440,True,243.30062,5.762723611111111
2020-12-09,265.33997,20,20,1440,True,265.33997,8.822484722222223
2020-12-10,254.29431,20,20,1440,True,254.29431,9.82357638888889
2020-12-11,287.91182000000003,20,20,1440,True,287.91182000000003,8.993169444444446
2020-12-12,287.968365,19,19,1440,False,,8.106483333333333
2020-12-13,329.09481,19,19,1440,False,,11.135055555555555
2020-12-14,322.552075,19,19,1440,False,,8.82182361111111
2020-12-15,323.95208999999994,19,19,1440,False,,8.322147916666667
2020-12-16,327.81516500000004,19,19,1440,False,,9.030236111111112
2020-12-17,361.99742000000003,19,19,1440,False,,10.504025694444445
2020-12-18,320.48276,19,19,1440,False,,10.632979166666667
2020-12-19,372.611625,19,19,1440,False,,8.443495833333333
2020-12-20,346.87005,19,19,1440,False,,7.943504861111112
2020-12-21,358.312735,19,19,1440,False,,9.240729166666666
2020-12-22,359.396275,19,19,1440,False,,4.771550694444445
2020-12-23,376.998665,19,19,1440,False,,6.995201388888889
2020-12-24,417.40499,19,19,1440,False,,6.917557638888889
2020-12-25,439.907125,19,19,1440,False,,6.024211111111111
2020-12-26,383.030235,19,19,1440,False,,9.630992361111112
2020-12-27,382.19381999999996,19,19,1440,False,,6.300990277777777
2020-12-28,393.43433999999996,19,19,1440,False,,7.172324305555557
2020-12-29,386.90702999999996,19,19,1440,False,,6.1854611111111115
2020-12-30,343.46033500000004,19,19,1440,False,,5.346577083333333
2020-12-31,371.489985,19,19,1440,False,,5.629215972222222
